"Campaign";"Treatment";"Block";"Plot";"Point";"Layer";"Upper_cm";"Lower_cm";"Upper";"Lower";"Point_ID";"Soil_mass_cum_ESM";"SOC_stock_cum_ESM";"Soil_mass_ESM";"SOC_stock_ESM";"SOC_g_kg_ESM"
"Year_0";"T1";"B1";"P01";"i1";1;0;-10;0;100;"Year_0_P01_i1";1380;15.1933924815451;1380;15.1933924815451;11.0097046967718
"Year_0";"T1";"B1";"P01";"i1";2;-10;-20;100;200;"Year_0_P01_i1";2759.99999999999;27.9445924815452;1380;12.7512000000001;9.24000000000012
"Year_0";"T1";"B1";"P01";"i1";3;-20;-35;200;350;"Year_0_P01_i1";4900;44.1685526498292;2140.00000000001;16.223960168284;7.58128979826354
"Year_0";"T1";"B1";"P01";"i1";4;-35;-40;350;400;"Year_0_P01_i1";5640.00000000001;47.5215013253698;740.000000000009;3.35294867554055;4.53101172370338
"Year_0";"T1";"B1";"P01";"i1";5;-40;-60;400;600;"Year_0_P01_i1";8600.00000000002;58.8406155533429;2960.00000000001;11.3191142279732;3.82402507701795
"Year_0";"T1";"B2";"P02";"i3";1;0;-10;0;100;"Year_0_P02_i3";1380;15.407796246479;1380;15.407796246479;11.1650697438254
"Year_0";"T1";"B2";"P02";"i3";2;-10;-20;100;200;"Year_0_P02_i3";2759.99999999999;30.2363338837138;1380;14.8285376372348;10.745317128431
"Year_0";"T1";"B2";"P02";"i3";3;-20;-35;200;350;"Year_0_P02_i3";4900;51.489757295502;2140.00000000001;21.2534234117882;9.93150626719069
"Year_0";"T1";"B2";"P02";"i3";4;-35;-40;350;400;"Year_0_P02_i3";5640.00000000001;54.4161587817539;740.000000000009;2.92640148625196;3.95459660304314
"Year_0";"T1";"B2";"P02";"i3";5;-40;-60;400;600;"Year_0_P02_i3";8600.00000000002;65.0072866883702;2960.00000000001;10.5911279066163;3.57808375223522
"Year_0";"T2";"B1";"P03";"i5";1;0;-10;0;100;"Year_0_P03_i5";1380;14.0635242618;1380;14.0635242618;10.19095961
"Year_0";"T2";"B1";"P03";"i5";2;-10;-20;100;200;"Year_0_P03_i5";2759.99999999999;28.1270485236;1380;14.0635242618;10.1909596100001
"Year_0";"T2";"B1";"P03";"i5";3;-20;-35;200;350;"Year_0_P03_i5";4900;45.0304185705998;2140.00000000001;16.9033700469998;7.89877104999987
"Year_0";"T2";"B1";"P03";"i5";4;-35;-40;350;400;"Year_0_P03_i5";5640.00000000001;48.1226943808997;740.000000000009;3.09227581029994;4.17875109499986
"Year_0";"T2";"B1";"P03";"i5";5;-40;-60;400;600;"Year_0_P03_i5";8600.00000000002;58.9794050100997;2960.00000000001;10.8567106292;3.66780764499998
"Year_0";"T2";"B1";"P03";"i6";1;0;-10;0;100;"Year_0_P03_i6";1380;14.124661491;1380;14.124661491;10.23526195
