"Campaign";"Plot";"Point";"Layer";"Upper_cm";"Lower_cm";"Upper";"Lower";"Point_ID";"Soil_mass_cum_ESM2";"SOC_stock_cum_ESM2";"Soil_mass_ESM2";"SOC_stock_ESM2";"SOC_g_kg_ESM2"
"BT";1;"BT_P4";1;0;-12.44436020535;0;124.4436020535;"BT_1_BT_P4";649.5;16.3391357305389;649.5;16.3391357305389;25.1564830339321
"BT";1;"BT_P4";2;-12.44436020535;-33.580465853868;124.4436020535;335.80465853868;"BT_1_BT_P4";1803.6;30.931845075;1154.1;14.5927093444611;12.6442330339321
"BT";2;"BT_P6";1;0;-5.82396358451241;0;58.2396358451241;"BT_2_BT_P6";649.5;7.27699940418632;649.5;7.27699940418632;11.2040021619497
"BT";2;"BT_P6";2;-5.82396358451241;-16.9176298909329;58.2396358451241;169.176298909329;"BT_2_BT_P6";1803.6;21.9762428221698;1154.1;14.6992434179835;12.7365422562893
"BT";2;"BT_P8";1;0;-7.26189012614522;0;72.6189012614522;"BT_2_BT_P8";649.5;13.3349849310838;649.5;13.3349849310838;20.5311546283046
"BT";2;"BT_P8";2;-7.26189012614522;-20.2869863437295;72.6189012614522;202.869863437295;"BT_2_BT_P8";1803.6;31.9566708496196;1154.1;18.6216859185358;16.1352447088951
"BT";3;"BT_P3";1;0;-9.46507820298436;0;94.6507820298436;"BT_3_BT_P3";649.5;14.7080854809789;649.5;14.7080854809789;22.6452432347635
"BT";3;"BT_P3";2;-9.46507820298436;-23.208654811903;94.6507820298436;232.08654811903;"BT_3_BT_P3";1803.6;33.6982465169033;1154.1;18.9901610359244;16.4545195701624
"BT";3;"BT_P7";1;0;-6.16469754565616;0;61.6469754565616;"BT_3_BT_P7";649.5;16.4756753782929;649.5;16.4756753782929;25.3667057402508
"BT";3;"BT_P7";2;-6.16469754565616;-19.2573472214713;61.6469754565616;192.573472214713;"BT_3_BT_P7";1803.6;40.5968402679397;1154.1;24.1211648896468;20.9004114805016
"BT";4;"BT_P2";1;0;-8.50399760518499;0;85.0399760518499;"BT_4_BT_P2";649.5;16.7069928832767;649.5;16.7069928832767;25.7228527841058
"BT";4;"BT_P2";2;-8.50399760518499;-21.6756087306145;85.0399760518499;216.756087306145;"BT_4_BT_P2";1803.6;39.4596931169436;1154.1;22.7527002336669;19.7146696418568
"BT";4;"BT_P5";1;0;-14.1577684424472;0;141.577684424472;"BT_4_BT_P5";649.5;14.7553136389167;649.5;14.7553136389167;22.7179578736209
"BT";4;"BT_P5";2;-14.1577684424472;-30.0784236016124;141.577684424472;300.784236016124;"BT_4_BT_P5";1803.6;27.7467476244734;1154.1;12.9914339855567;11.2567662988967
"FB";1;"FB_P4";1;0;-9.2192559859799;0;92.192559859799;"FB_1_FB_P4";649.5;14.4470526651748;649.5;14.4470526651748;22.2433451349882
"FB";1;"FB_P4";2;-9.2192559859799;-22.322973529247;92.192559859799;223.22973529247;"FB_1_FB_P4";1803.6;36.6316491388005;1154.1;22.1845964736257;19.2224213444465
"FB";1;"FB_P6";1;0;-9.28246921679688;0;92.8246921679688;"FB_1_FB_P6";649.5;15.034571965394;649.5;15.034571965394;23.1479168058415
"FB";1;"FB_P6";2;-9.28246921679688;-22.922296173232;92.8246921679688;229.22296173232;"FB_1_FB_P6";1803.6;35.1808679784208;1154.1;20.1462960130268;17.4562828290675
"FB";2;"FB_P1";1;0;-6.43523466868301;0;64.3523466868301;"FB_2_FB_P1";649.5;15.4999755404357;649.5;15.4999755404357;23.8644735033652
"FB";2;"FB_P1";2;-6.43523466868301;-18.5586245541694;64.3523466868301;185.586245541694;"FB_2_FB_P1";1803.6;38.0257826989161;1154.1;22.5258071584803;19.5180722281261
"FB";2;"FB_P5";1;0;-9.51008862695381;0;95.1008862695381;"FB_2_FB_P5";649.5;16.8316412301294;649.5;16.8316412301294;25.9147670979667
"FB";2;"FB_P5";2;-9.51008862695381;-22.2068980964931;95.1008862695381;222.068980964931;"FB_2_FB_P5";1803.6;40.429860987061;1154.1;23.5982197569316;20.447292051756
"FB";3;"FB_P3";1;0;-6.99684853498387;0;69.9684853498387;"FB_3_FB_P3";649.5;13.069185322829;649.5;13.069185322829;20.1219173561647
"FB";3;"FB_P3";2;-6.99684853498387;-18.4654521644366;69.9684853498387;184.654521644366;"FB_3_FB_P3";1803.6;32.4917294908714;1154.1;19.4225441680425;16.8291691950806
"FB";3;"FB_P7";1;0;-7.71059187824585;0;77.1059187824585;"FB_3_FB_P7";649.5;13.5967242616642;649.5;13.5967242616642;20.9341405106454
