"Campaign";"Plot";"Point";"Layer";"Upper_cm";"Lower_cm";"Upper";"Lower";"Point_ID";"Soil_mass_cum_ESM";"SOC_stock_cum_ESM";"Soil_mass_ESM";"SOC_stock_ESM";"SOC_g_kg_ESM"
"BT";1;"BT_P4";1;0;-12.4;0;124;"BT_1_BT_P4";649.346666666668;15.72263084;649.346666666668;15.72263084;24.2129999999999
"BT";1;"BT_P4";2;-12.4;-33.6;124;336;"BT_1_BT_P4";1799.44800000001;32.2929047679999;1150.10133333335;16.5702739279999;14.4076643055219
"BT";2;"BT_P6";1;0;-6;0;60;"BT_2_BT_P6";644.4;7.74633240000001;644.4;7.74633240000001;12.021
"BT";2;"BT_P6";2;-6;-17;60;170;"BT_2_BT_P6";1803.24;22.1754186;1158.84;14.4290862;12.4513187325256
"BT";2;"BT_P8";1;0;-7.2;0;72;"BT_2_BT_P8";641.664;12.099216384;641.664;12.099216384;18.856
"BT";2;"BT_P8";2;-7.2;-20.3;72;203;"BT_2_BT_P8";1802.70533333334;30.9764724480001;1161.04133333334;18.8772560640001;16.2589009728048
"BT";3;"BT_P3";1;0;-9;0;90;"BT_3_BT_P3";645.480000000001;13.67255736;645.480000000001;13.67255736;21.1819999999999
"BT";3;"BT_P3";2;-9;-22.4;90;224;"BT_3_BT_P3";1802.97333333333;31.8263601333333;1157.49333333333;18.1538027733333;15.6837212366954
"BT";3;"BT_P7";1;0;-6.7;0;67;"BT_3_BT_P7";649.364;15.1788835;649.364;15.1788835;23.375
"BT";3;"BT_P7";2;-6.7;-19.5;67;195;"BT_3_BT_P7";1800.03;39.8397479100001;1150.666;24.6608644100001;21.4318181036027
"BT";4;"BT_P2";1;0;-8.1;0;81;"BT_4_BT_P2";643.464;15.389728488;643.464;15.389728488;23.917
"BT";4;"BT_P2";2;-8.1;-21.1;81;211;"BT_4_BT_P2";1795.94733333333;37.562894158;1152.48333333333;22.17316567;19.2394675295377
"BT";4;"BT_P5";1;0;-14;0;140;"BT_4_BT_P5";648.2;14.5404224;648.2;14.5404224;22.432
"BT";4;"BT_P5";2;-14;-30.1;140;301;"BT_4_BT_P5";1801.934;27.791806152;1153.734;13.251383752;11.4856489901485
"FB";1;"FB_P4";1;0;-8.7;0;87;"FB_1_FB_P4";646.236;13.87145574;646.236;13.87145574;21.465
