point_ID,farm_ID,sample_no,sample_ID,depth,layer,x,y,plot_ID,method
BT_P1,BT,33,BBCD042570,15,0_15cm,-73.434831,43.108085,BT 33,Core
BT_P2,BT,34,BBCD042560,15,0_15cm,-73.434606,43.106474,BT 34,Core
BT_P2,BT,39,BBCD042559,30,15_30cm,-73.434606,43.106474,BT39,Core
BT_P3,BT,40,BBCD042562,15,0_15cm,-73.435105,43.107180,BT40,Core
BT_P3,BT,35,BBCD042561,30,15_30cm,-73.435105,43.107180,BT 35,Core
BT_P4,BT,47,BBCD042521,15,0_15cm,-73.434737,43.108050,BT47,Core
BT_P4,BT,36,BBCD042568,30,15_30cm,-73.434737,43.108050,BT36,Core
BT_P5,BT,46,BBCD042556,15,0_15cm,-73.434514,43.106440,BT46,Core
BT_P5,BT,37,BBCD042555,30,15_30cm,-73.434514,43.106440,BT37,Core
BT_P6,BT,42,BBCD042569,15,0_15cm,-73.434530,43.107377,BT42,
BT_P6,BT,38,BBCD042565,30,15_30cm,-73.434530,43.107377,BT38,Core
BT_P7,BT,45,BBCD044421,15,0_15cm,-73.435164,43.107119,BT45,Core
BT_P7,BT,41,BBCD044420,30,15_30cm,-73.435164,43.107119,BT41,Core
BT_P8,BT,44,BBCD042564,15,0_15cm,-73.434445,43.107396,BT44,Core
BT_P8,BT,43,BBCD042563,30,15_30cm,-73.434445,43.107396,BT43,Core
FB_P1,FB,8,BBCD042551,15,0_15cm,-73.972130,42.986087,FB8,Core
FB_P1,FB,1,BBCD042552,30,15_30cm,-73.972130,42.986087,FB1,Core
FB_P2,FB,2,BBCD042543,15,0_15cm,-73.972159,42.987397,FB2,Core
FB_P2,FB,11,BBCD042544,30,15_30cm,-73.972159,42.987397,FB11,Core
FB_P3,FB,3,BBCD042546,15,0_15cm,-73.973055,42.988007,FB3,Core
FB_P3,FB,33,BBCD042545,30,15_30cm,-73.973055,42.988007,FB33,Core
FB_P4,FB,6,BBCD042550,15,0_15cm,-73.970206,42.986496,FB6,Core
FB_P4,FB,4,BBCD042557,30,15_30cm,-73.970206,42.986496,FB4,Core
FB_P5,FB,9,BBCD042558,15,0_15cm,-73.972116,42.986184,FB9,Core
FB_P5,FB,5,BBCD042553,30,15_30cm,-73.972116,42.986184,FB5,Core
FB_P6,FB,7,BBCD042554,15,0_15cm,-73.970151,42.986595,FB7,Core
FB_P6,FB,15,BBCD042549,30,15_30cm,-73.970151,42.986595,FB15,Core
FB_P7,FB,12,BBCD042548,15,0_15cm,-73.973219,42.987994,FB12,Core
FB_P7,FB,10,BBCD042547,30,15_30cm,-73.973219,42.987994,FB10,Core
FB_P8,FB,14,BBCD042525,15,0_15cm,-73.972081,42.987290,FB14,Core
FB_P8,FB,13,BBCD042524,30,15_30cm,-73.972081,42.987290,FB13,Core
HR_P1,HR,27,BBCD043916,15,0_15cm,-73.820972,42.088472,HR27,Core
HR_P1,HR,16,BBCD043917,30,15_30cm,-73.820972,42.088472,HR16,Core
HR_P2,HR,28,BBCD043898,15,0_15cm,-73.819308,42.087638,HR28,Core
HR_P2,HR,17,BBCD043899,30,15_30cm,-73.819308,42.087638,HR17,Core
HR_P3,HR,24,BBCD043874,15,0_15cm,-73.819303,42.087531,HR24,Core
HR_P3,HR,18,BBCD043875,30,15_30cm,-73.819303,42.087531,HR18,Core
HR_P4,HR,26,BBCD043920,15,0_15cm,-73.821350,42.087910,HR26,Core
HR_P4,HR,19,BBCD043921,30,15_30cm,-73.821350,42.087910,HR19,Core
HR_P5,HR,31,BBCD043918,15,0_15cm,-73.821209,42.087837,HR31,Core
HR_P5,HR,20,BBCD043919,30,15_30cm,-73.821209,42.087837,HR20,Core
HR_P6,HR,29,BBCD043903,15,0_15cm,-73.821104,42.088565,HR29,Core
HR_P6,HR,21,BBCD043904,30,15_30cm,-73.821104,42.088565,HR21,Core
HR_P7,HR,30,BBCD043912,15,0_15cm,-73.819860,42.088163,HR30,Core
HR_P7,HR,22,BBCD043913,30,15_30cm,-73.819860,42.088163,HR22,Core
HR_P8,HR,25,BBCD043901,15,0_15cm,-73.819857,42.088237,HR25,Core
HR_P8,HR,23,BBCD043902,30,15_30cm,-73.819857,42.088237,HR23,Core
PM_P1,PM,1,BBCD044909,15,0_15cm,-73.809861,43.069306,PM1,Core
PM_P1,PM,7,BBCD044908,30,15_30cm,-73.809861,43.069306,PM7,Core
PM_P2,PM,8,BBCD044915,15,0_15cm,-73.808097,43.069592,PM8,Core
PM_P2,PM,2,BBCD044914,30,15_30cm,-73.808097,43.069592,PM2,Core
PM_P3,PM,11,BBCD044919,15,0_15cm,-73.808159,43.069668,PM11,Core
PM_P3,PM,3,BBCD044916,30,15_30cm,-73.808159,43.069668,PM3,Core
PM_P4,PM,4,BBCD044918,15,0_15cm,-73.807507,43.069338,PM4,Core
PM_P4,PM,6,BBCD044917,30,15_30cm,-73.807507,43.069338,PM6,Core
PM_P5,PM,5,BBCD044913,15,0_15cm,-73.808194,43.069028,PM5,Core
PM_P5,PM,9,BBCD044912,30,15_30cm,-73.808194,43.069028,PM9,Core
PM_P6,PM,10,BBCD044920,15,0_15cm,-73.807639,43.069306,PM10,Core
PM_P6,PM,16,BBCD044921,30,15_30cm,-73.807639,43.069306,PM16,Core
PM_P7,PM,13,BBCD044907,15,0_15cm,-73.809875,43.069214,PM13,Core
PM_P7,PM,12,BBCD044872,30,15_30cm,-73.809875,43.069214,PM12,Core
PM_P8,PM,15,BBCD044911,15,0_15cm,-73.808084,43.068978,PM15,Core
PM_P8,PM,14,BBCD044910,30,15_30cm,-73.808084,43.068978,PM14,Core
