farm_ID,sample_no,plot_ID,sample_ID,sample_type,wet_wt_g,dry_wt_g,soil_mass_Mg_ha,root_rock_g,root_rock_vol_ml
PM,1,PM1,BBCD044909,Core,491.2,442.8,1398.2,37.89,30
PM,2,PM2,BBCD044914,Core,723.3,624.55,1972.1,9.04,10
PM,3,PM3,BBCD044916,Core,862.95,806.7,2547.3,9.99,20
PM,4,PM4,BBCD044918,Core,648.15,554.65,1751.4,7.29,10
PM,5,PM5,BBCD044913,Core,573.3,480.55,1517.4,16.49,20
PM,6,PM6,BBCD044917,Core,774.5,682.55,2155.2,9.34,10
PM,7,PM7,BBCD044908,Core,760.9,684.35,2160.9,51.19,30
PM,8,PM8,BBCD044915,Core,570.92,500.6,1580.7,9.82,20
PM,9,PM9,BBCD044912,Core,754.85,664.5,2098.3,15.54,10
PM,10,PM10,BBCD044920,Core,674,556.85,1758.3,6.99,20
PM,11,PM11,BBCD044919,Core,501.1,428.3,1352.4,8.04,20
PM,12,PM12,BBCD044872,Core,770.5,657.8,2077.1,45.19,20
PM,13,PM13,BBCD044907,Core,622.1,542.35,1712.5,36.49,30
PM,14,PM14,BBCD044910,Core,788.7,669.4,2113.7,23.69,20
PM,15,PM15,BBCD044911,Core,640.6,716.55,2262.6,16.59,10
PM,16,PM16,BBCD044921,Core,821.5,558.15,1762.4,12.09,10
FB,1,FB1,BBCD042552,Core,423.2,427.4,1349.6,102.34,60
FB,2,FB2,BBCD042543,Core,569.58,440.2,1390,100.44,60
FB,3,FB3,BBCD042546,Core,658.55,456.5,1441.5,61.64,30
FB,4,FB4,BBCD042557,Core,666.3,521.05,1645.3,121.94,60
FB,5,FB5,BBCD042553,Core,783.2,631.15,1992.9,81.69,50
FB,6,FB6,BBCD042550,Core,464,352.85,1114.2,105.59,50
FB,7,FB7,BBCD042554,Core,473.75,347.3,1096.6,80.84,50
FB,8,FB8,BBCD042551,Core,609,466.6,1473.4,71.49,50
FB,9,FB9,BBCD042558,Core,441.25,345.45,1090.8,49.84,100
FB,10,FB10,BBCD042547,Core,488.3,368.2,1162.6,177.29,90
FB,11,FB11,BBCD042544,Core,502.3,393.75,1243.3,213.94,100
FB,12,FB12,BBCD042548,Core,527.8,393.4,1242.2,116.09,10
FB,13,FB13,BBCD042524,Core,602.75,453.7,1432.6,110.59,50
FB,14,FB14,BBCD042525,Core,680.15,344.45,1087.6,50.39,40
FB,15,FB15,BBCD042549,Core,618.6,468.1,1478.1,159.14,30
BT,33,BT 33,BBCD042570,Core,319.5,153.55,484.9,201.09,100
BT,34,BT 34,BBCD042560,Core,495.55,377.36,1191.6,136.69,60
BT,37,BT37,BBCD042555,Core,431.1,348.4,1100.1,319.94,100
BT,38,BT38,BBCD042565,Core,506.95,456.6,1441.8,214.04,90
BT,39,BT39,BBCD042559,Core,587.3,470.65,1486.1,142.79,20
FB,33,FB33,BBCD042545,Core ,645.9,530,1673.549405,83.89,40
BT,35,BT 35,BBCD042561,Core ,553,466.8,1474,269.64,120
BT,36,BT36,BBCD042568,Core ,320.65,258.95,817.7,196.69,140
BT,40,BT40,BBCD042562,Core ,483.5,340.7,1075.8,163.44,20
BT,41,BT41,BBCD044420,Core ,462.15,365.5,1154.1,242.69,120
BT,42,BT42,BBCD042569,Core ,615.95,510.2,1611,223.89,110
BT ,43,BT43,BBCD042563,Core ,537.3,417.6,1318.6,208.69,110
BT ,44,BT44,BBCD042564,Core ,482.8,423.35,1336.8,117.84,60
BT ,45,BT45,BBCD044421,Core ,526,460.4,1453.8,124.44,70
BT ,46,BT46,BBCD042556,Core ,356.15,219.95,694.5,129.14,30
BT ,47,BT47,BBCD042521,Core ,296.45,248.75,785.5,287.69,30
HR,16,HR16,BBCD043917,Core ,561.85,450.55,1422.7,192.84,90
HR,17,HR17,BBCD043899,Core ,564,462.6,1460.7,219.59,100
HR,18,HR18,BBCD043875,Core ,623.15,542.35,1712.5,61.09,40
HR,19,HR19,BBCD043921,Core ,706.1,563.55,1779.5,97.14,50
HR,20,HR20,BBCD043919,Core ,725.2,599.35,1892.5,70.99,40
HR,21,HR21,BBCD043904,Core ,544.9,455.45,1438.1,141.84,60
HR,22,HR22,BBCD043913,Core ,393.4,330.5,1043.6,342.04,150
HR,23,HR23,BBCD043902,Core ,384.6,311.7,984.2,237.74,110
HR,24,HR24,BBCD043874,Core ,391.15,322.15,1017.2,55.89,40
HR,25,HR25,BBCD043901,Core ,552.45,408.45,1289.7,175.84,90
HR,26,HR26,BBCD043920,Core ,556.75,444.3,1402.9,62.89,30
HR,27,HR27,BBCD043916,Core ,387.2,300.15,947.8,168.34,80
HR,28,HR28,BBCD043898,Core ,504.8,423.75,1338.1,81.64,50
HR,29,HR29,BBCD043903,Core ,505.95,410.6,1296.5,123.14,70
HR,30,HR30,BBCD043912,Core ,490.15,394.55,1245.8,181.19,60
HR,31,HR31,BBCD043918,Core ,613.6,499,1575.7,39.84,40
